工序,设备,编码,参数1,标准1,参数2,标准2,参数3,标准3,参数4,标准4,参数5,标准5,备注
粗洗,超声波清洗机,B09393,清洗次数,2,清洗介质,自来水,清洗功率,20-30%,清洗温度,室温,清洗时间,30min,
精洗,超声波清洗机,B09353,清洗次数,2,清洗介质,纯化水,清洗功率,100%,清洗温度,室温,清洗时间,30min,
清洗,超声波清洗机,B09353,清洗次数,2,清洗介质,纯化水,清洗功率,100%,清洗温度,室温,清洗时间,30min,
清洗,箱型干燥机,B04091,烘干温度℃,60±4,烘干时间,3h,,,,,,,
清洁,未见设备编码字段,,清洁介质,75%酒精,擦拭工具,清洁、不掉绒的无尘布,,,,,,,源文档未见设备编码字段，按清洁操作要求提取。
组装Ⅰ,撤压机,C01017,撤压机气压,2ATM,缸径,20MM,撤压检测压力,20-25ATM,耐压检测压力,30ATM,,,
光固Ⅰ,光固机,A05075 / A05059,紫外灯数量,1,能量范围mJ/cm2,800-1000,传送带速度,10-30,运行次数,1,,,源文本复选框字符直接解析存在形态差异，仅提取设备编码。
硅化Ⅰ,硅油喷雾阀系统,B09026,硅油压力Kpa,20,硅油量刻度,10-11,硅化时间ms,55±5,,,,,
硅化Ⅱ,未见设备编码字段,,,,,,,,,,,,源文档未见设备参数表。
组装Ⅱ,未见设备编码字段,,,,,,,,,,,,源文档未见设备参数表。
检测,高压机小气压检测,G01143,低压检验气源,8atm,高压检测气源,30atm,最大压力保持观察,10s内无跳压、降压,,,,,
光固Ⅱ,光固机,A05075 / A05059,紫外灯数量,1,能量范围mJ/cm2,800-1000,传送带速度,10-30,运行次数,1,,,源文本复选框字符直接解析存在形态差异，仅提取设备编码。
单包装,封口热合机,A05199,热合温度℃,135±10,热合时间s,1.8±0.5,热合压力MPa,0.5-0.6,,,,,单包装源表含4台设备、3组温度/时间标准；该行按文本顺序提取。
单包装,封口热合机,A05203,热合温度℃,150±5,热合时间s,5±1,热合压力MPa,0.5-0.6,,,,,单包装源表含4台设备、3组温度/时间标准；该行按文本顺序提取。
单包装,热合机,A05048,热合温度℃,107±10,热合时间s,4.5±1,热合压力MPa,0.5-0.6,,,,,单包装源表含4台设备、3组温度/时间标准；该行按文本顺序提取。
单包装,自动热合机,A03274,热合温度℃,,热合时间s,,热合压力MPa,0.5-0.6,,,,,源表可读文本未能唯一对应该设备的温度/时间标准；未臆造。
中包装,未见设备编码字段,,,,,,,,,,,,源文档未见设备参数表。
大包装,未见设备编码字段,,,,,,,,,,,,源文档未见设备参数表。
